
n =10
 u  e
0 -nan19.2644 inf30.7356 inf
28.8967 inf
36.4711 inf
27.9772 inf
40.2583 inf
23.7303 inf
46.3989 inf
15.4663 inf

n =100
 u  e
0 -nan21.1325 inf28.8675 inf
31.6987 inf
32.735 inf
33.1143 inf
33.2532 inf
33.304 inf
33.3226 inf
33.3294 inf
33.3319 inf
33.3328 inf
33.3331 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3334 inf
33.3333 inf
33.3334 inf
33.3333 inf
33.3334 inf
33.3332 inf
33.3335 inf
33.3331 inf
33.3337 inf
33.3329 inf
33.3339 inf
33.3325 inf
33.3345 inf
33.3318 inf
33.3354 inf
33.3305 inf
33.3373 inf
33.328 inf
33.3407 inf
33.3233 inf
33.347 inf
33.3146 inf
33.3589 inf
33.2984 inf
33.381 inf
33.2682 inf
33.4223 inf
33.2118 inf
33.4993 inf
33.1066 inf
33.6431 inf
32.9102 inf
33.9113 inf
32.5438 inf
34.4119 inf
31.86 inf
35.3459 inf
30.5841 inf
37.0888 inf
28.2032 inf
40.3412 inf
23.7604 inf
46.4102 inf
15.4701 inf

n =1000
 u  e
0 -nan21.1325 inf28.8675 inf
31.6987 inf
32.735 inf
33.1143 inf
33.2532 inf
33.304 inf
33.3226 inf
33.3294 inf
33.3319 inf
33.3328 inf
33.3331 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
33.3333 inf
